Player,School,Year,Pick,Pos,G,MP,FG%,2P%,College 3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS,3PTM,3P%
Kenyon Martin,Cincinnati,2000,1,PF,116,23.7,0.586,0.59,0.222,0.581,11.0,6.65,0.592,0.587,0.01,0.494,8.2,0.01,0.091
Stromile Swift,LSU,2000,2,PF,50,26.6,0.56,0.585,0.242,0.613,13.4,5.84,0.585,0.569,0.073,0.566,4.1,0.0,0.0
Marcus Fizer,Iowa State,2000,3,PF,97,32.9,0.511,0.524,0.292,0.702,18.9,6.27,0.558,0.519,0.053,0.453,9.2,0.14,0.256
Mike Miller,Florida,2000,4,SF,65,26.7,0.483,0.565,0.345,0.718,13.3,7.07,0.586,0.547,0.376,0.473,5.0,1.8,0.407
DerMarr Johnson,Cincinnati,2000,5,SF,32,27.5,0.478,0.575,0.371,0.737,12.6,8.5,0.594,0.567,0.478,0.324,2.6,0.53,0.323
Chris Mihm,Texas,2000,6,C,96,31.4,0.497,0.503,0.3,0.684,14.6,7.62,0.548,0.501,0.03,0.581,6.3,0.0,0.0
Jamal Crawford,Michigan,2000,7,PG,17,33.9,0.412,0.468,0.327,0.784,16.6,9.27,0.507,0.476,0.396,0.2,0.7,0.67,0.35
Joel Przybilla,Minnesota,2000,8,C,49,27.6,0.591,0.591,0.0,0.521,9.9,9.77,0.583,0.591,0.0,0.479,3.0,0.0,0.0
Keyon Dooling,Missouri,2000,9,PG,59,28.1,0.411,0.452,0.338,0.733,12.1,6.05,0.531,0.472,0.365,0.51,2.9,0.37,0.35
Jerome Moiso,UCLA,2000,10,C,62,26.8,0.495,0.505,0.227,0.614,12.0,9.47,0.521,0.499,0.036,0.362,2.4,0.0,0.0
Etan Thomas,Syracuse,2000,11,C,122,26.0,0.6,0.6,0.0,0.598,11.0,7.2,0.608,0.6,0.0,0.709,9.3,0.0,0.0
Courtney Alexander,Fresno State,2000,12,PG,112,30.9,0.456,0.488,0.362,0.767,18.9,7.56,0.535,0.503,0.259,0.248,7.9,0.26,0.37
Mateen Cleaves,Michigan State,2000,13,PG,123,29.6,0.406,0.454,0.313,0.738,12.5,9.5,0.502,0.459,0.343,0.324,4.7,0.06,0.294
Jason Collier,Georgia Tech,2000,14,C,97,29.6,0.458,0.478,0.369,0.711,13.9,9.13,0.535,0.491,0.179,0.428,5.3,0.0,0.0
Desmond Mason,Oklahoma State,2000,15,SF,129,30.0,0.486,0.529,0.372,0.731,13.2,5.94,0.572,0.537,0.275,0.367,9.4,0.23,0.269
Quentin Richardson,DePaul,2000,16,SG,64,34.2,0.454,0.5,0.369,0.728,17.9,7.85,0.553,0.519,0.355,0.338,5.5,0.66,0.331
Jamaal Magloire,Kentucky,2000,17,C,145,21.2,0.503,0.503,0.0,0.636,7.3,10.42,0.537,0.503,0.0,0.554,4.4,0.0,0.0
Speedy Claxton,Hofstra,2000,18,PG,119,33.8,0.468,0.491,0.322,0.748,16.9,-4.42,0.545,0.49,0.134,0.48,9.9,0.06,0.121
Morris Peterson,Michigan State,2000,19,SG,137,23.4,0.484,0.537,0.377,0.746,11.6,9.41,0.582,0.547,0.333,0.367,10.0,0.79,0.382
Donnell Harvey,Florida,2000,20,PF,37,20.2,0.507,0.509,0.0,0.61,10.1,8.51,0.533,0.507,0.004,0.496,1.3,0.0,0.0
Mamadou N'Diaye,Auburn,2000,21,C,128,20.8,0.506,0.508,0.0,0.641,6.8,6.11,0.543,0.506,0.003,0.587,3.9,0.0,0.0
Erick Barkley,St. John's (NY),2000,22,PG,65,34.8,0.396,0.444,0.328,0.727,14.6,8.02,0.508,0.464,0.409,0.363,2.9,0.38,0.375
Mark Madsen,Stanford,2000,23,PF,108,24.8,0.587,0.589,0.0,0.596,10.9,8.67,0.598,0.587,0.003,0.737,7.6,0.01,1.0
Dan Langhi,Vanderbilt,2000,24,PF,121,24.4,0.445,0.475,0.383,0.831,12.4,7.24,0.571,0.508,0.33,0.434,8.1,0.0,0.0
A.J. Guyton,Indiana,2000,25,PG,128,34.0,0.455,0.484,0.414,0.79,16.4,10.42,0.572,0.541,0.417,0.249,11.5,0.82,0.391
Khalid El-Amin,Uconn,2000,26,PG,108,30.1,0.416,0.456,0.355,0.822,15.3,8.09,0.527,0.486,0.394,0.257,6.4,0.56,0.333
Mike Smith,Louisiana,2000,27,SG,55,35.2,0.428,0.537,0.318,0.769,19.3,-5.55,0.551,0.507,0.496,0.357,4.8,0.18,0.167
Eddie House,Arizona State,2000,28,PG,124,33.4,0.425,0.462,0.366,0.798,16.5,8.01,0.523,0.495,0.381,0.187,6.7,0.38,0.345
Eduardo Najera,Oklahoma,2000,29,SF,126,30.6,0.43,0.467,0.288,0.669,13.1,5.16,0.495,0.46,0.207,0.354,3.5,0.03,0.33
Lavor Postell,St. John's (NY),2000,30,SF,129,29.3,0.43,0.464,0.326,0.789,11.1,7.77,0.526,0.47,0.246,0.383,5.2,0.12,0.273
Hanno Mottola,Utah,2000,31,PF,120,26.0,0.5,0.542,0.333,0.774,12.4,4.49,0.58,0.533,0.198,0.415,9.4,0.0,0.0
Chris Porter,Auburn,2000,32,SF,56,28.9,0.467,0.477,0.308,0.651,15.3,6.57,0.514,0.476,0.057,0.464,2.6,0.0,0.0
Jason Richardson,Michigan State,2001,1,SG,70,21.7,0.503,0.551,0.383,0.649,9.6,9.73,0.573,0.558,0.287,0.285,3.7,1.02,0.333
Shane Battier,Duke,2001,2,SF,146,31.4,0.5,0.57,0.416,0.777,13.6,10.08,0.632,0.594,0.454,0.431,13.5,1.32,0.373
Eddie Griffin,Seton Hall,2001,3,PF,30,32.6,0.429,0.469,0.32,0.734,17.8,6.03,0.501,0.472,0.267,0.227,1.0,1.23,0.33
Rodney White,Charlotte,2001,4,SF,28,30.9,0.487,0.533,0.347,0.713,18.7,7.91,0.566,0.53,0.246,0.415,2.5,0.12,0.222
Joe Johnson,Arkansas,2001,5,SG,53,30.3,0.466,0.485,0.406,0.753,15.0,6.96,0.545,0.515,0.239,0.262,3.3,0.49,0.292
Richard Jefferson,Arizona,2001,6,SF,84,26.3,0.49,0.528,0.368,0.718,11.2,10.19,0.572,0.534,0.238,0.436,5.0,0.16,0.232
Troy Murphy,Notre Dame,2001,7,PF,94,35.1,0.496,0.522,0.335,0.777,21.4,6.35,0.582,0.52,0.139,0.551,11.5,0.04,0.333
Steven Hunter,DePaul,2001,8,C,63,24.6,0.586,0.589,0.0,0.6,9.9,7.92,0.594,0.586,0.005,0.465,3.8,0.0,0.0
Kirk Haston,Indiana,2001,9,PF,96,26.8,0.473,0.48,0.366,0.717,14.6,10.88,0.523,0.484,0.062,0.354,4.5,0.0,0.0
Michael Bradley,Villanova,2001,10,PF,100,27.4,0.677,0.695,0.353,0.541,10.9,8.74,0.662,0.687,0.052,0.548,8.8,0.0,0.0
