Player,School,Year,Pick,Pos,G,MP,FG%,2P%,College 3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS
Anthony Edwards,Georgia,2020,1,SG,32,33.0,0.402,0.504,0.294,0.772,19.1,8.06,0.52,0.473,0.485,0.339,2.5
James Wiseman,Memphis,2020,2,C,3,23.0,0.769,0.8,0.0,0.704,19.7,5.07,0.76,0.769,0.038,1.038,0.5
Patrick Williams,Florida State,2020,3,PF,29,22.5,0.459,0.503,0.32,0.838,9.2,7.64,0.553,0.498,0.242,0.357,1.2
Isaac Okoro,Auburn,2020,4,SG,28,31.5,0.514,0.607,0.286,0.672,12.9,7.39,0.587,0.556,0.288,0.551,2.3
Onyeka Okongwu,USC,2020,5,PF,28,30.6,0.616,0.621,0.25,0.72,16.2,7.22,0.645,0.618,0.014,0.504,3.2
Obi Toppin,Dayton,2020,6,PF,64,29.0,0.647,0.688,0.417,0.706,17.1,3.3,0.687,0.679,0.149,0.331,7.8
Jalen Smith,Marlyland,2020,7,PF,64,28.9,0.516,0.584,0.323,0.709,13.5,10.3,0.59,0.558,0.26,0.437,6.1
Devin Vassell,Florida State,2020,8,SG,63,19.3,0.475,0.514,0.417,0.72,8.4,8.95,0.579,0.559,0.407,0.225,3.9
Tyrese Haliburton,Iowa State,2020,9,PG,57,34.6,0.509,0.621,0.426,0.775,10.1,9.68,0.645,0.631,0.577,0.173,5.4
Kira Lewis,Alabama,2020,10,PG,65,34.5,0.447,0.498,0.362,0.793,15.9,8.56,0.555,0.515,0.374,0.303,4.9
Aaron Nesmith,Vanderbilt,2020,11,SF,46,31.0,0.442,0.485,0.41,0.825,14.7,7.1,0.598,0.561,0.585,0.288,3.6
Cole Anthony,UNC,2020,12,PG,22,34.9,0.38,0.402,0.348,0.75,18.5,10.05,0.501,0.451,0.409,0.371,1.2
Isaiah Stewart,Washington,2020,13,PF,32,32.2,0.57,0.59,0.25,0.774,17.0,8.25,0.629,0.577,0.059,0.591,3.7
Josh Green,Arizona,2020,14,SG,30,30.9,0.424,0.449,0.361,0.78,12.0,8.4,0.528,0.476,0.288,0.378,2.0
Saddiq Bey,Villanova,2020,15,SF,67,31.6,0.469,0.522,0.418,0.728,11.9,9.0,0.594,0.575,0.506,0.225,5.9
Precious Achiuwa,Memphis,2020,16,PF,31,30.4,0.493,0.514,0.325,0.599,15.8,5.07,0.534,0.511,0.108,0.507,1.5
Tyrese Maxey,Kentucky,2020,17,SG,31,34.5,0.427,0.492,0.292,0.833,14.0,7.46,0.531,0.474,0.322,0.342,2.1
Zeke Nnaji,Arizona,2020,18,PF,32,30.7,0.57,0.586,0.294,0.76,16.1,8.4,0.63,0.578,0.054,0.637,3.5
Immanuel Quickley,Kentucky,2020,19,PG,67,25.0,0.403,0.409,0.397,0.895,10.1,8.87,0.578,0.499,0.484,0.459,4.3
Payton Pritchard,Oregon,2020,20,PG,144,33.7,0.437,0.495,0.379,0.8,13.5,7.11,0.569,0.533,0.505,0.279,13.6
Udoka Azubuike,Kansas,2020,21,C,87,23.4,0.746,0.746,0.0,0.416,12.3,12.13,0.686,0.746,0.0,0.501,6.2
Jaden McDaniels,Washington,2020,22,PF,31,31.1,0.405,0.445,0.339,0.763,13.0,8.25,0.515,0.469,0.378,0.339,0.6
Malachi Flynn,San Diego State,2020,23,PG,94,33.3,0.42,0.488,0.363,0.833,14.4,5.34,0.559,0.518,0.543,0.273,8.0
Desmond Bane,TCU,2020,24,SG,141,30.3,0.495,0.542,0.433,0.804,12.7,10.08,0.611,0.589,0.432,0.203,11.2
Tyrell Terry,Stanford,2020,25,PG,31,32.6,0.441,0.47,0.408,0.891,14.6,6.38,0.589,0.535,0.456,0.33,2.3
Vernon Carey Jr.,Duke,2020,26,C,31,24.9,0.577,0.59,0.381,0.67,17.8,8.0,0.615,0.588,0.061,0.632,3.6
Daniel Oturu,Minnesota,2020,27,C,66,28.5,0.558,0.574,0.37,0.671,15.2,11.41,0.595,0.572,0.077,0.426,5.4
Xavier Tillman Sr.,Michigan State,2020,28,SF,105,21.3,0.582,0.62,0.273,0.695,8.7,10.06,0.624,0.599,0.129,0.472,7.0
Elijah Hughes,Syracuse,2020,29,SF,91,30.7,0.411,0.497,0.342,0.763,13.9,6.22,0.547,0.506,0.553,0.338,5.9
Robert Woodard II,Mississippi State,2020,30,SG,65,24.9,0.485,0.527,0.368,0.617,8.3,8.02,0.548,0.534,0.265,0.297,3.1
Tre Jones,Duke,2020,31,PG,65,34.7,0.419,0.464,0.313,0.767,12.4,9.99,0.507,0.466,0.301,0.288,5.2
Nick Richards,Kentucky,2020,32,PF,105,18.2,0.627,0.627,0.0,0.728,7.3,9.49,0.66,0.627,0.0,0.641,6.0
Jahmi'us Ramsey,Texas Tech,2020,33,SG,27,31.2,0.442,0.454,0.426,0.641,15.0,8.41,0.546,0.531,0.421,0.233,1.6
Jordan Nwora,Louisville,2020,34,SF,93,26.3,0.445,0.489,0.394,0.785,13.9,9.22,0.573,0.535,0.458,0.307,6.1
C.J. Elleby,Washington State,2020,35,SF,64,32.2,0.413,0.443,0.367,0.749,16.6,3.7,0.524,0.485,0.392,0.307,3.5
Isaiah Joe,Arkansas,2020,36,SG,60,32.7,0.39,0.429,0.378,0.827,15.2,8.02,0.569,0.534,0.763,0.241,4.2
Sam Merrill,Utah State,2020,37,SG,132,33.1,0.47,0.52,0.42,0.891,16.6,2.51,0.624,0.575,0.499,0.331,16.2
